清单序号,原方名,规范方名,出处,主治原文,组成,候选证型,候选证型ID,裁定状态,核定证型,核定证型ID,裁定依据,证据层级,全网资料入口,联网补强状态,需医生最终签字,数据质量备注,逐方网页证据,逐方网页核验
181,止吐方,止吐方,《大小诸证方论》,小儿恣意饱食，不能消化，久之上冲于胃口而吐。；六君子汤变方，补脾益气，和胃降逆，治小儿食积呕吐。,人参、砂仁、白术、茯苓、陈皮、半夏、干姜,脾胃气虚；胃气上逆；脾气不足,TCM-SYNDROME-0F4FF7849863；TCM-SYNDROME-72F348E2691D；TCM-SYNDROME-ACEECA1E6E00,采纳,胃气上逆；脾胃气虚,TCM-SYNDROME-72F348E2691D；TCM-SYNDROME-0F4FF7849863,“上冲于胃口而吐”示胃气上逆，“补脾益气”示脾胃气虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
182,枳壳丸,枳壳丸,《惠直堂经验方》,行气消积，以枳壳配巴豆煮透减毒，佐橘红、青皮、木香理气化痰，酒糊丸助药力。,枳壳、橘红、青皮、木香,痰气壅实；气滞痰凝；痰气互结,TCM-SYNDROME-00DFD47644F4；TCM-SYNDROME-904656BCD2AC；TCM-SYNDROME-311EA6F87944,采纳,气滞痰凝,TCM-SYNDROME-904656BCD2AC,主治“理气化痰”，针对气滞与痰凝。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9E%B3%E5%A3%B3%E4%B8%B8,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%9E%B3%E5%A3%B3%E4%B8%B8,页面正文命中方名
183,制火润尻散,制火润尻散,《惠直堂经验方》,治尻上锐疽。；金银花、玄参清热解毒，熟地、山萸滋阴，苦参燥湿，白芥子化痰，茯苓利湿，共奏清热润燥、解毒散结之功。,金银花、玄参、苦参、甘草、熟地黄、山茱萸、白芥子、茯苓,湿热伤阴；阴虚湿热；湿热化燥,TCM-SYNDROME-49B341E0C1A1；TCM-SYNDROME-1288F5C4C84E；TCM-SYNDROME-CB8FCE0B844A,采纳,阴虚湿热,TCM-SYNDROME-1288F5C4C84E,治法滋阴清热兼燥湿，示阴虚湿热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
184,治伤寒、温病劳复食复方,治伤寒、温病劳复食复方,《外台》卷二,治大病已瘥，劳复者；枳实栀子汤行气清热，香豉解表，治劳复；加大黄消食导滞,枳实、栀子、香豉,气滞热壅；热炽腑实；热盛气滞,TCM-SYNDROME-62BAF46EC3EE；TCM-SYNDROME-CC794D929268；TCM-SYNDROME-CD1F92B92322,采纳,气滞热壅,TCM-SYNDROME-62BAF46EC3EE,主治“行气清热”，对应气滞与热壅。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
185,治瞳人散大方,治瞳人散大方,《验方新编》,瞳人散大；补血养肝，益肾明目，归经肝肾,熟地黄、当归身、白芍、车前子、川芎、菟丝子,肝肾亏虚；肝肾不足；肝血不足,TCM-SYNDROME-D0B79453139B；TCM-SYNDROME-BBA3843C00EB；TCM-SYNDROME-AC7F79A86051,采纳,肝肾不足；肝血不足,TCM-SYNDROME-BBA3843C00EB；TCM-SYNDROME-AC7F79A86051,“补血养肝，益肾”示肝肾不足与肝血不足。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
186,治小儿口疳流水口烂神方,治小儿口疳流水口烂神方,《大小诸证方论》,小儿口疳流水口烂；黄柏清热燥湿，人参益气生肌，共奏清热敛疮之效,黄柏、人参,湿热；心脾湿热；湿热上蒸,TCM-SYNDROME-CFEFA693692E；TCM-SYNDROME-9B7FC6986E76；TCM-SYNDROME-AB6647118483,采纳,湿热,TCM-SYNDROME-CFEFA693692E,主治口疳流水口烂，黄柏清热燥湿，明示湿热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
187,治小儿疟疾方,治小儿疟疾方,《大小诸证方论》,小儿疟疾；疏肝健脾，理气化湿，和解截疟。归经：肝、脾、胃经。,柴胡、白术、茯苓、当归、白芍、枳壳、槟榔、厚朴,湿困脾胃；肝脾气滞；气滞湿阻,TCM-SYNDROME-064EF6858A5E；TCM-SYNDROME-3E2CD824EE97；TCM-SYNDROME-E3D326948C7A,采纳,气滞湿阻,TCM-SYNDROME-E3D326948C7A,疏肝理气化湿，属气滞兼湿阻。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
188,治胁痛方,治胁痛方,《大小诸证方论》,胁痛，肝病，肾水不足致肝气失养。；平肝补肾，滋水涵木，使肝气得养而胁痛自止。,熟地黄、白芍、当归、白芥子、栀子、山茱萸,肝肾阴虚；肝肾不足；肝肾亏虚,TCM-SYNDROME-E62409E9BC62；TCM-SYNDROME-BBA3843C00EB；TCM-SYNDROME-D0B79453139B,采纳,肝肾阴虚,TCM-SYNDROME-E62409E9BC62,肾水不足致肝失养，滋水涵木，即肝肾阴虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
189,治胸腹胀满方,治胸腹胀满方,《集验方》,治胸满有气，心腹胀，中冷；温中散寒，降逆消胀。方中半夏、生姜温胃散寒，桂心温通阳气。,半夏、桂心、生姜,胃寒气逆；寒滞胃脘；寒凝气滞,TCM-SYNDROME-8F3CD2D22D9D；TCM-SYNDROME-B9C01D4E485E；TCM-SYNDROME-EA67C0A56D7A,采纳,寒凝气滞,TCM-SYNDROME-EA67C0A56D7A,胸满有气，腹胀，中冷，属寒凝气滞。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
190,治虚症大便不通方,治虚症大便不通方,《大小诸证方论》,凡久病之后，大便秘者；补虚通便，归经肝肾大肠,熟地黄、玄参、当归、川芎、火麻仁、大黄,肝肾两虚；肝肾亏虚；大肠虚,TCM-SYNDROME-739213847DCB；TCM-SYNDROME-D0B79453139B；TCM-SYNDROME-00DA0057ACFC,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
191,治迎风下泪方,治迎风下泪方,《验方新编》,治迎风下泪；疏风清热，养血明目。归经：肝、肺、肾。,防风、荆芥、决明子、蔓荆子、当归身、菊花、蕤仁、车前子、牡丹皮、白芍、甘草、生姜,肝经风热犯目；肝经风热；肝肺风热,TCM-SYNDROME-627FC8C554FD；TCM-SYNDROME-FE3E17588BC6；TCM-SYNDROME-DB1ECF49F3CC,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
192,治痈疽方,治痈疽方,《集验方》,治痈疮，脓血不止，疮中空虚，疼痛。；方用防风、远志、当归等补气活血，排脓内托，归经于肺、脾、心。,防风、远志、当归、黄芪、白芷、甘草、桔梗、通草、厚朴、人参、桂心、附子、赤小豆、川芎,气血两虚；气虚血瘀；心脾气血两虚,qi_blood_deficiency；TCM-SYNDROME-C3FAB62E2CDB；TCM-SYNDROME-6E2A619818FE,采纳,气血两虚,qi_blood_deficiency,主治脓血不止，疮中空虚，用补气活血内托，主为气血两虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
193,治诸痛方,治诸痛方,《大小诸证方论》,手痛、足痛、心腹痛……，一身而众处皆痛；舒肝去湿去火，治一经而诸经奏功，逍遥散之变化,柴胡、陈皮、栀子、白芍、薏苡仁、茯苓、当归,肝火湿热；肝脾湿火；肝火,TCM-SYNDROME-675593AB1394；TCM-SYNDROME-385A1BB23DCE；TCM-SYNDROME-A4E8212A15E6,采纳,肝火湿热,TCM-SYNDROME-675593AB1394,一身众痛，舒肝去湿去火，证属肝火湿热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
194,中风方,中风方,《惠直堂经验方》,治口噤痰厥。不省人事。；辰砂镇心安神，白矾化痰开窍，猪胆引药入经，共奏开窍醒神之功。,朱砂、白矾,痰迷心窍；痰蒙心窍；痰闭心窍,TCM-SYNDROME-5845113DEF18；TCM-SYNDROME-AC0AE7741CCC；TCM-SYNDROME-108CE42831A7,采纳,痰迷心窍,TCM-SYNDROME-5845113DEF18,口噤痰厥，不省人事，化痰开窍，属痰迷心窍。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
195,猪脊汤,猪脊汤,《三因极一病证方论》,治三消渴疾。；方用大枣、莲肉补脾养心，木香行气，甘草和中，猪脊骨滋阴，共治三消。,大枣、莲子、木香、甘草,心脾气血两虚；心气阴两虚；脾胃气阴两虚,TCM-SYNDROME-6E2A619818FE；TCM-SYNDROME-584AD047B186；TCM-SYNDROME-85438B49A505,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
196,紫霞丹,紫霞丹,《古方汇精》,治产后血晕惊风。一切危症。；补血活血，祛瘀止血，温经散寒，主治产后危症。；产后血晕惊风，一切危症。,熟地黄、川芎、当归、荆芥、炮姜、丹参、桃仁,寒凝血瘀；寒凝血虚；血瘀风燥,cold_congealing_blood_stasis；TCM-SYNDROME-CF70F7F53666；TCM-SYNDROME-E31EC384AE03,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%B4%AB%E9%9C%9E%E4%B8%B9,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E7%B4%AB%E9%9C%9E%E4%B8%B9,页面正文命中方名
197,拔疔除根方,拔疔除根方,《验方新编》,疔疮，疮根不拔，久不收功；蓖麻子拔毒，乳香活血，共奏拔疔除根之效,蓖麻子、乳香,外伤血瘀；气滞血瘀,TCM-SYNDROME-F898822FF2CD；qi_stagnation_blood_stasis,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%8B%94%E7%96%94%E9%99%A4%E6%A0%B9%E6%96%B9,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E6%8B%94%E7%96%94%E9%99%A4%E6%A0%B9%E6%96%B9,页面正文命中方名
198,百子附归丸,百子附归丸,《大小诸证方论》,调经养血，安胎顺气。不问胎前产后、经事参差、有余不足诸证，悉皆治之，殊益胎嗣。；方中阿胶、艾叶养血安胎，四物汤调经，香附理气，共奏调经养血、安胎顺气之功。,阿胶、艾叶、当归、川芎、熟地黄、香附、白芍药,气血两虚；气血亏虚,qi_blood_deficiency；TCM-SYNDROME-3AAD68D5C9BF,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%99%BE%E5%AD%90%E9%99%84%E5%BD%92%E4%B8%B8,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E7%99%BE%E5%AD%90%E9%99%84%E5%BD%92%E4%B8%B8,页面正文命中方名
199,斑龙丸,斑龙丸,《医方集解》,治虚损，理百病，驻颜益寿。；手足少阴药。鹿角胶霜、菟丝、熟地补肾精；柏子仁养心；补气血，益精髓。；鹿角、菟丝阴中之阳，地黄阴中之阴，补肾不偏不倚。,鹿角胶、鹿角霜、菟丝子、柏子仁、熟地黄,心肾阴阳两虚；心肾两虚,TCM-SYNDROME-9ACA010C2BD2；TCM-SYNDROME-C3FA5AEFA03C,采纳,心肾阴阳两虚,TCM-SYNDROME-9ACA010C2BD2,主治明言“手足少阴药”，且鹿角、菟丝阴中之阳，地黄阴中之阴，共补肾精养心，阴阳并补。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%96%91%E9%BE%99%E4%B8%B8,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%96%91%E9%BE%99%E4%B8%B8,页面正文命中方名
200,保安煎,保安煎,《古方汇精》,妇人难产，横生逆产，六七日不下，或婴儿已死腹中，命在垂危；补血活血，行气催产，兼安胎，归芎芍养血，朴艾理气，菟丝固胎,当归、川芎、厚朴、蕲艾、菟丝子、川贝母、白芍,气滞血瘀；气血两虚,qi_stagnation_blood_stasis；qi_blood_deficiency,采纳,气血两虚；气滞血瘀,qi_blood_deficiency；qi_stagnation_blood_stasis,主治难产，方用归芎芍养血，朴艾理气，补血活血行气，直指气血两虚兼气滞血瘀之机。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
201,苍术白虎汤,苍术白虎汤,《医方简义》,治暑厥症。亦治中恶。；苍术燥湿，石膏清热，知母滋阴，甘草和中，共奏清暑化湿之功。,苍术、石膏、知母、甘草,暑湿热蕴；暑湿热郁,TCM-SYNDROME-A2C5576EFDA6；TCM-SYNDROME-7152830F6342,采纳,暑湿热蕴,TCM-SYNDROME-A2C5576EFDA6,主治暑厥、中恶，方中苍术燥湿、石膏清热，提示暑热夹湿。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%8B%8D%E6%9C%AF%E7%99%BD%E8%99%8E%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%8B%8D%E6%9C%AF%E7%99%BD%E8%99%8E%E6%B1%A4,页面正文命中方名
202,柴胡梅连散,柴胡梅连散,《瑞竹堂经验方》,治骨蒸劳，久而不痊，三服除根，其效如神。及五劳七伤、虚弱，并皆治之。；方中柴胡、前胡疏解郁热，胡黄连清骨蒸，乌梅敛阴，合猪胆、脊髓等滋阴降火，治虚劳骨蒸。,胡黄连、柴胡、前胡、乌梅,阴虚火旺；肾阴虚火旺,yin_deficiency_fire；TCM-SYNDROME-C590B2C00B3B,采纳,阴虚火旺,yin_deficiency_fire,主治骨蒸劳，久不痊，方中胡黄连清骨蒸、猪脊髓等滋阴降火。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%A2%85%E8%BF%9E%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%A2%85%E8%BF%9E%E6%95%A3,页面正文命中方名
203,大小肠痈极验方,大小肠痈极验方,《验方新编》,大小肠痈，火邪甚急，需内消。；金银花败毒补阴，重用则效；地榆凉血，甘草解毒，当归活血，苡仁排脓。,地榆、生甘草、金银花、当归、苡仁,火毒伤阴；火毒犯阴,TCM-SYNDROME-D7F108D3A271；TCM-SYNDROME-BE2981FD9D60,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
204,调经方,调经方,《惠直堂经验方》,调经种子，安胎；香附理气调经，归身养血，川芎活血，益母草调经，共奏调经种子安胎之功,香附、当归身、川芎,气血失调；气滞血瘀,TCM-SYNDROME-4FD46B37E9BB；qi_stagnation_blood_stasis,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
205,丁香柿蒂竹茹汤,丁香柿蒂竹茹汤,《医方考》,大病后，中焦气塞，下焦呃逆。；丁香、陈皮辛温理中焦痞塞；竹茹、柿蒂苦寒疗下焦呃逆。,丁香、柿蒂、竹茹、陈皮,上寒下热；寒凝气滞,TCM-SYNDROME-F5BF1711E0C6；TCM-SYNDROME-EA67C0A56D7A,采纳,上寒下热,TCM-SYNDROME-F5BF1711E0C6,中焦气塞用丁香辛温，下焦呃逆用竹茹苦寒，示中寒下热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E4%B8%81%E9%A6%99%E6%9F%BF%E8%92%82%E7%AB%B9%E8%8C%B9%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E4%B8%81%E9%A6%99%E6%9F%BF%E8%92%82%E7%AB%B9%E8%8C%B9%E6%B1%A4,页面正文命中方名
206,肚腹水泻方,肚腹水泻方,《验方新编》,肚腹水泻；方以茯苓、厚朴、陈皮理气化湿，枳壳、葛根升清，木瓜、石榴皮涩肠止泻，红枣、煨姜和中。,茯苓、厚朴、陈皮、枳壳、葛根、木瓜、石榴皮、红枣、生姜,气滞湿阻；湿阻气滞,TCM-SYNDROME-E3D326948C7A；TCM-SYNDROME-7DFA9F18F05B,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
207,飞虎散,飞虎散,《瑞竹堂经验方》,专治偏正头风。；散风清热，通络止痛。白芷、川芎、防风等祛风，石膏清热，薄荷、荆芥穗疏风。,白附子、白芷、荆芥穗、石膏、薄荷叶、天麻、川芎、防风,风热上犯；风热,TCM-SYNDROME-8F6819CF761F；TCM-SYNDROME-E4B6DC219EA9,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%A3%9E%E8%99%8E%E6%95%A3,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E9%A3%9E%E8%99%8E%E6%95%A3,页面正文命中方名
208,福神丹,福神丹,《三因极一病证方论》,未明确记载，推测用于利水消肿等（原文无主治）；方中诃子、巴戟温肾，牵牛、赤小豆利水，甘草调和，共奏温阳利水之功。,诃子、巴戟天、牵牛子、甘草、赤小豆,肾阳虚水泛；肾阳虚,TCM-SYNDROME-7DBEC456218D；kidney_yang_deficiency,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%A6%8F%E7%A5%9E%E4%B8%B9,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E7%A6%8F%E7%A5%9E%E4%B8%B9,页面正文命中方名
209,甘露散,甘露散,《瑞竹堂经验方》,服如意之后，便服此药即补，能分阴阳，大有效验。；分阴阳，补虚利水，调和脾胃。,滑石、泽泻、甘草、人参、茯苓、白术、猪苓,脾胃气虚；脾胃虚,TCM-SYNDROME-0F4FF7849863；TCM-SYNDROME-819FA92ABFAB,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%94%98%E9%9C%B2%E6%95%A3,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E7%94%98%E9%9C%B2%E6%95%A3,页面正文命中方名
210,甘遂半夏汤,甘遂半夏汤,《绛雪园古方选注》,逐留饮弥漫于肠胃之间，虽利而续坚满；甘遂反甘草，以白芍约之，白蜜润之，激而行之，去留着之根,甘遂、半夏、芍药、甘草,寒饮停胃；痰饮停胃,TCM-SYNDROME-F5CF809543E4；TCM-SYNDROME-713828ECBED5,采纳,痰饮停胃,TCM-SYNDROME-713828ECBED5,主治明言“逐留饮弥漫于肠胃之间”,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%94%98%E9%81%82%E5%8D%8A%E5%A4%8F%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E7%94%98%E9%81%82%E5%8D%8A%E5%A4%8F%E6%B1%A4,页面正文命中方名
211,膏药方,膏药方,《验方新编》,治背发见奇功第一良方，治诸疮毒，俱皆效验。；方以生地凉血滋阴，黄芩清热燥湿，甘草解毒和中，郁金活血行气，共奏解毒消肿之功。,生地黄、黄芩、甘草、郁金,血热挟湿；湿浊热毒入营血,TCM-SYNDROME-F4F87C37417F；TCM-SYNDROME-9AFC32B512A0,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
