序号,方名,出处,推导流派,原确认方式,核定建议,核定方式,功效,主治,核定依据,证据层级,证据网址,需医生最终签字,备注
129,瓜蒂散,《伤寒论》,经方思路,规则级,是,规则级,涌吐痰涎宿食,痰涎宿食填塞上脘，胸中痞硬，烦懊不安，气上冲咽喉不得息，舌苔厚腻，寸脉微浮者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
130,瓜蒌桂枝汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
131,瓜蒌薤白半夏汤,《金匮要略》,经方思路,规则级,是,规则级,行气解郁；通阳散结；祛痰宽胸,痰盛瘀阻胸痹证。症见胸中满痛彻背，背痛彻胸，不能安卧者，短气，或痰多粘而白，舌质紫暗或有暗点，苔白或腻，脉,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
132,瓜蒌薤白白酒汤,《金匮要略》,经方思路,规则级,是,规则级,通阳散结；行气祛痰,胸阳不振，痰气互结之胸痹轻证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
133,甘姜苓术汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
134,甘草泻心汤,《伤寒论》,经方思路,规则级,是,规则级,和胃补中；降逆消痞,伤寒中风，医反下之，以致胃气虚弱，其人下利日数十行，完谷不化，腹中雷鸣，心下痞硬而满，干呕，心烦不得安,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
135,甘露消毒丹,《温热经纬》,温病思路,规则级,是,规则级,利湿化浊；清热解毒,湿温时疫，邪在气分，湿热并重证,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
136,甘麦大枣汤,《金匮要略》,经方思路,规则级,是,规则级,养心安神；和中缓急,妇人脏阴不足，致患脏燥，精神恍惚，悲伤欲哭，不能自主，呵欠频作，甚则言行失常,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
137,痛泻要方,《丹溪心法》,滋阴/丹溪思路,逐首勾选,否,逐首建议,补脾柔肝；祛湿止泻,肝旺脾虚，肠鸣腹痛，大便泄泻，泻必腹痛，舌苔薄白，脉两关不调，弦而缓,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：补脾柔肝、祛湿止泻、肝旺脾虚，肠鸣腹痛，大便泄泻，泻必腹痛，舌苔薄白，脉两关不调，弦而缓,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
138,白头翁汤,《伤寒论》,经方思路,规则级,是,规则级,清热解毒；凉血止痢,痢疾，热毒深陷血分，腹痛，便脓血，赤多白少，里急后重，肛门灼热，口渴欲饮，舌红苔黄，脉弦数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
139,白虎加人参汤,《伤寒论》,经方思路,规则级,是,规则级,清热泻火；益气生津,伤寒或温病，里热盛而气阴不足，发热，烦渴，口舌干燥，汗多，脉大无力，暑病津气两伤，汗出恶寒，身热而渴,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
140,白虎加桂枝汤,《金匮要略》,经方思路,规则级,是,规则级,清热通络；调和营卫,温疟，其脉如平，身无寒但热，骨节疼烦，时呕，风湿热痹，壮热汗出，气粗烦躁，关节肿痛，口渴苔白，脉弦数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
141,白虎汤,《伤寒论》,经方思路,规则级,是,规则级,清热生津,伤寒阳明热盛，或温病热在气分证，壮热面赤，烦渴引饮，口舌干燥，大汗出，脉洪大有力,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
142,益胃汤,《温病条辨》,温病思路,规则级,是,规则级,养阴益胃,阳明温病，下后汗出，胃阴受伤者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
143,真武汤,《伤寒论》,经方思路,规则级,是,规则级,温阳利水,脾肾阳衰，水气内停，小便不利，四肢沉重疼痛，腹痛下利，或肢体浮肿，苔白不渴，太阳病发汗，汗出不解，其人仍发热，心下悸，头眩，身8动，振振欲擗地者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
144,礞石滚痰丸,《丹溪心法附余》,滋阴/丹溪思路,逐首勾选,否,逐首建议,泻火逐痰,实热老痰证,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：泻火逐痰、实热老痰证,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
145,竹叶石膏汤,《伤寒论》,经方思路,规则级,是,规则级,清热生津；益气和胃,热病之后，余热未清，气阴两伤，虚羸少气，呕逆烦渴，或虚烦不得眠，舌红少苔，脉虚而数，以及暑热所伤，发热多汗，烦渴喜饮，舌红干，脉虚数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
146,紫金锭,《丹溪心法附余》,滋阴/丹溪思路,逐首勾选,否,逐首建议,化痰开窍；辟秽解毒；消肿止痛,中暑时疫；外敷疔疮肿毒，虫咬损伤，无名肿毒，以及痄腮、丹毒、喉风等,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：化痰开窍、辟秽解毒、消肿止痛、中暑时疫；外敷疔疮肿毒，虫咬损伤，无名肿毒，以及痄腮、丹毒、喉风等,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
147,羚角钩藤汤,《通俗伤寒论》,经方思路,规则级,是,规则级,凉肝熄风；增液舒筋,肝风上扰，头晕胀痛，耳鸣心悸，手足躁扰，甚则瘈疭，狂乱痉厥，及肝经热盛，热极动风，孕妇子痫，产后惊风,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
148,翘荷汤,《温病条辨》,温病思路,规则级,是,规则级,疏风清热；解毒消肿,燥气化火，清窍不利，耳鸣目赤，龈胀咽痛者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
149,耳聋左慈丸,《重订广温热论》,温病思路,规则级,是,规则级,滋肾平肝,肝肾阴虚，耳鸣耳聋，头晕目眩,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
150,胃苓汤,《丹溪心法》,滋阴/丹溪思路,逐首勾选,否,逐首建议,祛湿和胃；行气利水,夏秋之间，脾胃伤冷，水谷不分，泄泻如水，以及水肿、腹胀、小便不利者,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：祛湿和胃、行气利水、夏秋之间，脾胃伤冷，水谷不分，泄泻如水，以及水肿、腹胀、小便不利者,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
151,胎元饮,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,补肾固胎,妇人冲任不足，胎元不安不固,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：补肾固胎、妇人冲任不足，胎元不安不固,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
152,胶艾汤,《金匮要略》,经方思路,规则级,是,规则级,养血止血安胎,妇人冲任虚损，崩漏下血，月经过多，淋漓不止，产后或流产损伤冲任，下血不绝，或妊娠胞阻，胎漏下血，腹中疼痛,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
153,脱花煎,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,祛瘀下胎,胎漏、胎动不安、堕胎等辨证属瘀血阻滞者,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：祛瘀下胎、胎漏、胎动不安、堕胎等辨证属瘀血阻滞者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
154,芍药甘草汤,《伤寒论》,经方思路,规则级,是,规则级,调和肝脾；缓急止痛,伤寒伤阴，筋脉失濡，腿脚挛急，心烦，微恶寒，肝脾不和，脘腹疼痛,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
155,苏叶黄连汤,《温热经纬》,温病思路,规则级,是,规则级,清肝和胃；降逆止呕,症见恶心呕吐酸水、苦水，胸胁胀痛，口苦，嗳气，头胀头晕等,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
156,苓桂术甘汤,《金匮要略》,经方思路,规则级,是,规则级,温阳化饮；健脾利湿,中阳不足，痰饮内停，胸胁支满，目眩心悸，咳而气短，舌苔白滑，脉弦滑,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
157,苓甘五味姜辛汤,《金匮要略》,经方思路,规则级,是,规则级,温肺化饮,咳逆，寒饮内停，咳嗽痰稀，喜唾，胸满喘逆，舌苔白滑，脉沉迟,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
158,茜根散,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,滋阴降火；宁络止血,阴虚火旺证，症见鼻衄不止，心神烦闷,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：滋阴降火、宁络止血、阴虚火旺证，症见鼻衄不止，心神烦闷,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
159,茵陈五苓散,《金匮要略》,经方思路,规则级,是,规则级,利湿退黄,湿热黄疸，湿重于热，小便不利者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
160,茵陈蒿汤,《伤寒论》,经方思路,规则级,是,规则级,清热；利湿；退黄,湿热黄疸，一身面目俱黄，色鲜明如橘子，腹微满口中渴，小便不利，舌苔黄腻，脉沉实或滑数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
161,萆薢分清散,《丹溪心法》,滋阴/丹溪思路,逐首勾选,否,逐首建议,温肾缩尿；分清化浊,下焦虚寒之膏淋、白浊,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：温肾缩尿、分清化浊、下焦虚寒之膏淋、白浊,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
162,葛根汤,《伤寒论》,经方思路,规则级,是,规则级,解肌散寒止痛,外感风寒表实，恶寒发热，头痛，项背强几几，身痛无汗，腹微痛，或下利，或干呕，或微喘，舌淡苔白，脉浮紧者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
163,葛根芩连汤合升阳除湿汤,《伤寒论》、《兰室秘藏》,经方思路,规则级,是,规则级,清热除湿；升阳固脱,湿热下注，清阳不升之泄泻、脱肛证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
164,葛根黄芩黄连汤,《伤寒论》,经方思路,规则级,是,规则级,表里两解；清热止利,外感表证未解，热邪入里，身热，下利臭秽，肛门有灼热感，心下痞，胸脘烦热，喘而汗出，口干而渴，苔黄，脉数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
165,葶苈大枣泻肺汤,《金匮要略》,经方思路,规则级,是,规则级,泻肺行水；下气平喘,肺痈，胸中胀满，痰涎壅塞，喘咳不得卧，甚则一身面目浮肿，鼻塞流涕，不闻香臭酸辛，亦治支饮不得息者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
166,蒿芩清胆汤,《通俗伤寒论》,经方思路,规则级,是,规则级,清胆利湿；和胃化痰,少阳湿热痰浊证，症见寒热如疟，寒轻热重，口苦膈闷，吐酸苦水或呕黄涎而粘，胸胁胀痛，舌红苔白腻，脉濡数，现用于感受暑湿，疟疾，急性黄疸性肝炎等证属湿热偏重者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
167,薏苡附子败酱散,《金匮要略》,经方思路,规则级,是,规则级,排脓消肿,肠痈内已成脓，身无热，肌肤甲错，腹皮急，如肿状，按之软，脉数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
168,虎潜丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,滋阴降火；强筋壮骨,精血不足，虚火亢盛，筋骨痿弱，腿足消瘦，步履乏力，精元不固，尺脉虚浮洪数，久不生育,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：滋阴降火、强筋壮骨、精血不足，虚火亢盛，筋骨痿弱，腿足消瘦，步履乏力，精元不固，尺脉虚浮洪数，久不生育,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
169,血府逐瘀汤,《伤寒论》,经方思路,规则级,是,规则级,活血化瘀；行气止痛,上焦瘀血，头痛胸痛，胸闷呃逆，失眠不寐，心悸怔忡，瘀血发热，舌质暗红，边有瘀斑或瘀点，唇暗或两目暗黑脉涩或弦紧，妇人血瘀经闭不行，痛经，肌肤甲错，目晡潮热以及脱疽，白，眼科云雾移睛，青盲等目疾,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
170,解肝煎,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,疏肝理气；化湿畅中,暴怒伤肝，气逆胀满者,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：疏肝理气、化湿畅中、暴怒伤肝，气逆胀满者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
171,调胃承气汤,《伤寒论》,经方思路,规则级,是,规则级,缓下热结,阳明病胃肠燥热，蒸蒸发热，口渴便秘，腹满拒按舌苔正黄，脉滑数，亦用于肠胃热盛而见发斑吐衄，口齿咽喉肿痛，中消，疮疡等,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
172,越婢加半夏汤,《金匮要略》,经方思路,规则级,是,规则级,宣肺泄热；降逆化痰,肺胀，咳嗽上气，胸满气喘，目如脱状，脉浮大者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
173,越婢加术汤,《金匮要略》,经方思路,规则级,是,规则级,疏风泄热；发汗利水,皮水，一身面目悉肿，发热恶风，小便不利，苔白脉沉者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
174,越婢汤,《金匮要略》,经方思路,规则级,是,规则级,发汗解表；利水,风水恶风，一身悉肿，自汗不渴，无大热，脉浮，现用于急慢性肾炎而见上述症状者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
175,越鞠丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,行气解郁,气、血、痰、火、湿、食等郁，胸膈痞闷，脘腹胀痛，吞酸呕吐，饮食不化,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：行气解郁、气、血、痰、火、湿、食等郁，胸膈痞闷，脘腹胀痛，吞酸呕吐，饮食不化,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
176,连梅安蛔丸,《通俗伤寒论》,经方思路,规则级,是,规则级,清肝安蛔；止痛定厥,蛔厥证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
177,连梅汤,《温病条辨》,温病思路,规则级,是,规则级,,,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
178,通瘀煎,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,活血祛瘀；行气止痛,妇人气滞血瘀，经脉不利，痛极拒按,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：活血祛瘀、行气止痛、妇人气滞血瘀，经脉不利，痛极拒按,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
179,酸枣仁汤,《金匮要略》,经方思路,规则级,是,规则级,养血安神；清热除烦,虚劳虚烦不得眠，心悸盗汗，头目眩晕，咽干口燥脉弦或细数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
180,金匮肾气丸,《金匮要略》,经方思路,规则级,是,规则级,补肾助阳,肾气不足，腰酸脚软，肢体畏寒，少腹拘急，小便不利或频数，舌质淡胖，尺脉沉细，及痰饮喘咳，水肿脚气，消渴久泄，现用于糖尿病，甲状腺功能低下，慢性肾炎，肾上腺皮质功能减退及支气管哮喘等属于肾气不足者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
181,银翘散,《温病条辨》,温病思路,规则级,是,规则级,辛凉解表；清热解毒,温病初起，发热无汗，或有汗不畅，微恶寒，头痛口渴，咳嗽咽痛，舌尖红，苔薄白或薄黄，脉浮数者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
182,防己黄芪汤,《金匮要略》,经方思路,规则级,是,规则级,益气祛风；健脾利水,表虚不固之风水或风湿证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
183,阿胶鸡子黄汤,《通俗伤寒论》,经方思路,规则级,是,规则级,养血滋阴；柔肝熄风,邪热久留，灼伤真阴，筋脉拘急，手足蠕动，或头目晕眩，舌绛苔少，脉细而数等证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
184,附子汤,《伤寒论》第304、305条,经方思路,规则级,是,规则级,温经助阳；祛寒益气,寒湿内侵，身体骨节疼痛，恶寒肢冷，苔白滑，脉沉微,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
185,附子泻心汤,《伤寒论》,经方思路,规则级,是,规则级,温经回阳；扶阳固表；泄热消痞,阳虚于外，热结于胃，心下痞满，而复恶寒，汗出者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
186,附子粳米汤,《金匮要略》,经方思路,规则级,是,规则级,温中祛寒,腹中寒气，雷鸣切痛，胸胁逆满，呕吐,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
187,青蒿鳖甲汤,《温病条辨》,温病思路,规则级,是,规则级,养阴清热,温病后期，热邪深伏阴分，夜热早凉，热退无汗，能食消瘦，吉红少苔，脉细数,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
188,鳖甲煎丸,《金匮要略》,经方思路,规则级,是,规则级,消痞化积活血化瘀疏肝解郁,肝硬化、肝脾肿大、肝癌等病，血瘀肝郁型黄疸,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
189,麦门冬汤,《金匮要略》,经方思路,规则级,是,规则级,清养肺胃；降逆下气,肺痿，肺胃津伤，虚火上炎，咳唾涎沫，气逆而喘咽干口燥，舌干红少苔，脉虚数者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
190,麻子仁丸,《伤寒论》,经方思路,规则级,是,规则级,润肠泻热；行气通便,肠胃燥热，津液不足，大便秘结，小便频数，现用于习惯性便秘见有上述症状者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
191,麻黄杏仁甘草石膏汤,《伤寒论》,经方思路,规则级,是,规则级,辛凉宣肺；清热平喘,肺热喘咳，甚则气急，鼻翼扇动，有汗或无汗，身热不解，口渴，脉滑数，苔薄黄，现用于肺炎，慢性支气管炎，支气管哮喘，麻疹，百日咳，慢性鼻窦炎等属邪热闭肺者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
192,麻黄杏仁薏苡甘草汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
193,麻黄汤,《伤寒论》,经方思路,规则级,是,规则级,发汗解表；宣肺平喘,外感风寒表实证。恶寒发热，头痛身疼，无汗而喘，舌苔薄白，脉浮紧,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
